,ResTimePre,equiv_pldnPre,conc_dfnbPre,temperaturePre,ResTimePreb,equiv_pldnPreb,conc_dfnbPreb,temperaturePreb,ResTimePost,equiv_pldnPost,conc_dfnbPost,temperaturePost,STYPre,EFactorPre,STYPreb,EFactorPreb,STYPost,EFactorPost,itterTimePre,itterTimePreb,itterTimePost,,hypervolumePre,hypervolumePreb,hypervolumePost
0,0.935266331,2.98071754,0.480790305,30.04196266,0.935266331,2.98071754,0.480790305,30.04196266,0.935266331,2.98071754,0.480790305,30.04196266,0.020087141,0.004082275,0.020087141,0.004082275,0.020087141,0.004082275,0,0,0,0,0,0,0
1,1.469594527,3.002352752,0.256871226,79.93791469,1.469594527,3.002352752,0.256871226,79.93791469,1.469594527,3.002352752,0.256871226,79.93791469,0.045239703,0.015796876,0.045239703,0.015796876,0.045239703,0.015796876,0,0,0,1,4.92E-05,4.92E-05,4.92E-05
2,1.877592977,1.202458501,0.310646362,63.93177758,1.877592977,1.202458501,0.310646362,63.93177758,1.877592977,1.202458501,0.310646362,63.93177758,0.005327751,0.002431035,0.005327751,0.002431035,0.005327751,0.002431035,0,0,0,2,0.000543556,0.000543556,0.000543556
3,0.524372785,4.782687157,0.126569615,113.8716761,0.524372785,4.782687157,0.126569615,113.8716761,0.524372785,4.782687157,0.126569615,113.8716761,0.048954799,0.006332227,0.048954799,0.006332227,0.048954799,0.006332227,0,0,0,3,0.000543556,0.000543556,0.000543556
4,0.841639,1.902476069,0.230566772,101.5004797,0.841639,1.902476069,0.230566772,101.5004797,0.841639,1.902476069,0.230566772,101.5004797,0.049889829,0.010300889,0.049889829,0.010300889,0.049889829,0.010300889,0,0,0,4,0.00068864,0.00068864,0.00068864
5,1.211686697,3.123146661,0.228723975,91.29349247,1.259852851,3.621172354,0.205821322,97.73213411,0.5,2.739274652,0.1,59.80137851,0.050762794,0.014756853,0.061133652,0.018508569,0.006631792,0.000845518,1.781,1.312,1.797,5,0.00068864,0.00068864,0.00068864
6,1.410225473,3.376046643,0.276653324,98.72781186,1.416316408,3.899806378,0.250391846,110.4783861,0.5,2.762584476,0.34845257,118.548692,0.086003808,0.028346057,0.10092657,0.033451158,0.204015393,0.023489234,2,1.907,1.61,6,0.000770888,0.001006362,0.00068864
7,1.468373853,3.560358227,0.296400712,105.2097983,1.510942972,4.114271205,0.273921926,119.3501119,0.5,2.746953967,0.397845277,120,0.120274222,0.040742779,0.139854786,0.048667827,0.259775985,0.029358666,3.032,1.921,1.797,7,0.002530243,0.003872371,0.005464125
8,1.539060642,3.775164026,0.318489419,112.3328245,1.627269435,4.386584004,0.301106572,120,0.5,2.568754935,0.448138093,120,0.136287858,0.047659103,0.166982061,0.061363989,0.295907762,0.033010969,3.25,2.282,1.422,8,0.004575113,0.006885058,0.008962393
9,1.692867494,3.914636709,0.29549994,117.2695305,1.743875835,4.748977178,0.323769513,120,0.5,2.941372077,0.498631248,120,0.141484224,0.054829498,0.172233462,0.066471204,0.430607278,0.046532984,3.843,2.719,1.656,9,0.007739685,0.009208571,0.011192151
