,ResTimePre,equiv_pldnPre,conc_dfnbPre,temperaturePre,ResTimePost,equiv_pldnPost,conc_dfnbPost,temperaturePost,STYPre,EFactorPre,STYPost,EFactorPost,itterTimePre,itterTimePost,hypervolumePre,hypervolumePost
0,1.696999162,3.887755394,0.482378006,118.2059723,1.96255216,4.480043411,0.405291319,76.65877998,0.259254168,989.1969164,0.114542893,979.2063224,0,0,0,0
1,0.839684559,2.837764986,0.179272212,48.50334378,0.580742136,1.775664043,0.143938598,61.9422249,0.004552951,0,0.002265056,0,0,0,256.4534239,112.1611254
2,1.129346974,4.091035005,0.311782299,75.32513939,1.228222493,3.196901634,0.312838034,114.4561526,0.074232167,947.2667557,0.146015595,975.8644061,0,0,256.4534239,112.1611254
3,1.430729079,1.134676322,0.202400662,57.6537663,1.297350841,2.55514244,0.23639779,46.29192783,0.001675041,0,0.00667734,522.4863461,0,0,256.4534239,142.8742142
4,1.530205214,4.524073653,0.130687464,66.4717037,1.514516545,3.930130862,0.163586069,38.16050366,0.011278876,765.2064458,0.003952407,315.955652,0,0,256.4534239,142.8742142
5,1.029606823,1.699669171,0.433794783,89.75736153,1.024246334,2.321914405,0.487194701,100.7879198,0.057942312,927.4007978,0.166779474,973.6290194,0,0,256.4534239,142.8742142
6,0.552448066,3.445866644,0.250887753,40.44319547,0.740039895,4.650653239,0.25608212,65.06111238,0.007564716,0,0.04242998,861.4621586,0,0,256.4534239,163.0905296
7,1.983973262,2.277593922,0.360267865,104.5101004,1.792994645,1.105052952,0.394680531,96.74025675,0.084456989,974.3160111,0.012173669,807.5976489,0,0,256.4534239,163.0905296
8,1.819161967,4.346863948,0.283527615,95.99756867,1.663342013,3.499646109,0.285943197,105.0241435,0.098314273,975.4828425,0.102048431,974.6183786,0,0,256.4534239,163.0905296
9,0.620567312,1.429567773,0.380408106,71.48153882,0.797900856,2.764117915,0.3632623,33.88172792,0.01716025,603.228873,0.009061071,395.839786,0,0,256.4534239,163.0905296
10,1.5264828,3.833604839,0.464868805,101.0095166,0.5,2.833979456,0.462368111,110.5697856,0.221529821,986.0774584,0.306317306,970.3145743,2.907,0.844,256.4534239,163.0905296
11,1.417338719,3.513829362,0.41152744,117.2020205,0.5,4.093504472,0.410455855,120,0.226498252,985.8141588,0.453593943,979.5746445,2.515,0.844,256.4534239,298.4861216
12,1.331634542,4.138537695,0.5,120,0.5,4.873891224,0.452805635,120,0.33917383,989.3020462,0.606597499,984.033433,2.468,1.875,256.4534239,444.3291254
13,1.213749613,4.961741202,0.5,120,0.5,5,0.5,120,0.386535205,989.40434,0.714791347,986.0728625,1.985,1.031,335.5453639,596.9122198
14,0.7761749,5,0.5,106.3478762,0.5,5,0.5,106.1294987,0.462845306,986.1447076,0.567186239,982.4484504,2.188,1.39,382.4396097,704.8363497
15,0.5,5,0.5,118.2587705,0.5,5,0.5,120,0.697271576,985.7229267,0.714791347,986.0728625,2.594,0.953,457.6924112,704.8363497
16,0.5,5,0.394424321,120,0.5,4.633968416,0.5,120,0.500978723,981.1607713,0.678980636,985.5206829,2.265,1.235,688.7717604,704.8363497
17,0.5,3.835372478,0.449128784,106.196956,0.5,5,0.5,120,0.371896306,974.8531458,0.714791347,986.0728625,3.297,0.922,688.7717604,704.8363497
18,0.5,5,0.405222276,92.70633681,0.5,1,0.1,120,0.290428997,967.321017,0.0028305,0,2.563,0.781,688.7717604,704.8363497
19,0.5,5,0.5,120,0.5,5,0.5,120,0.714791347,986.0728625,0.714791347,986.0728625,3.547,1.062,688.7717604,704.8363497
20,0.5,2.443872764,0.5,120,0.5,5,0.5,120,0.357078481,974.5425468,0.714791347,986.0728625,3.469,0.796,706.1295656,704.8363497
21,1.44286519,5,0.426642355,84.27205961,0.5,5,0.5,120,0.182345286,981.7639329,0.714791347,986.0728625,1.797,1.297,706.1295656,704.8363497
22,1.525221236,2.059392199,0.5,120,0.5,5,0.1,120,0.178066773,983.5041682,0.04699426,829.8425687,2.172,1.219,706.1295656,704.8363497
23,1.095346078,5,0.315970982,87.31987753,0.5,5,0.5,120,0.133032972,968.933268,0.714791347,986.0728625,1.766,0.891,706.1295656,704.8363497
24,0.5,3.007854937,0.1,120,0.5,5,0.5,120,0.024610023,680.5512278,0.714791347,986.0728625,1.281,1.062,706.1295656,704.8363497
25,0.5,3.992680384,0.5,90.05027752,0.5,5,0.5,120,0.309074474,968.8934502,0.714791347,986.0728625,3.094,1.156,706.1295656,704.8363497
26,0.793280474,5,0.455276532,120,0.5,1,0.5,30,0.474713634,987.0731526,0.002004293,0,2.515,0.656,706.1295656,704.8363497
27,1.161707547,2.818867023,0.5,111.381104,0.775238496,5,0.5,120,0.258237192,984.6378633,0.545746505,988.2351915,2.172,0.828,706.2122871,704.8363497
28,2,5,0.5,107.9429947,0.5,5,0.5,120,0.239325913,989.6010034,0.714791347,986.0728625,2.078,0.562,706.2122871,706.0164333
29,0.5,3.998190564,0.5,120,0.5,5,0.5,120,0.606305575,984.1398382,0.714791347,986.0728625,2.016,0.625,706.2593537,706.0164333
30,1.472823013,5,0.444078505,110.7408306,1.027963265,5,0.5,120,0.271920892,987.9133702,0.443127857,989.0729103,2.735,0.89,706.2593537,706.0164333
